2455927.520833	2012	1	2012.0000571	1.333	0.698	1.000	1.0885e-01	9.9124e-02	1.0500e-01	9.9307e-02	6.4453e-02	8.9641e-02	6.0632e-02	9.5191e-02	6.1019e-02
2455927.562500	2012	1	2012.0001712	1.333	0.830	1.000	1.0689e-01	1.1732e-01	1.2458e-01	9.6157e-02	7.1908e-02	1.0675e-01	6.8599e-02	1.1360e-01	6.8090e-02
2455927.604166	2012	1	2012.0002854	1.333	0.698	1.000	1.2539e-01	1.2134e-01	1.4191e-01	1.1584e-01	7.0789e-02	1.1170e-01	6.5622e-02	1.3186e-01	7.0012e-02
2455927.645833	2012	1	2012.0003995	1.333	0.830	1.000	1.2007e-01	1.0880e-01	1.3323e-01	1.0949e-01	7.5291e-02	9.7832e-02	6.9972e-02	1.2213e-01	7.1144e-02
2455927.687500	2012	1	2012.0005137	1.333	0.698	1.000	1.1731e-01	1.2316e-01	1.2065e-01	1.0785e-01	6.4658e-02	1.1349e-01	6.1125e-02	1.1074e-01	6.8556e-02
2455927.729166	2012	1	2012.0006279	1.333	0.830	1.000	1.2492e-01	1.1785e-01	1.4698e-01	1.1434e-01	7.4575e-02	1.0697e-01	6.5220e-02	1.3575e-01	7.3741e-02
2455927.770833	2012	1	2012.0007420	1.333	0.698	1.000	1.3194e-01	1.0721e-01	1.1797e-01	1.2240e-01	6.9729e-02	9.7608e-02	6.2290e-02	1.0796e-01	6.5947e-02
2455927.812500	2012	1	2012.0008562	1.333	0.829	1.000	1.3261e-01	1.4304e-01	1.2648e-01	1.2186e-01	8.0752e-02	1.3222e-01	6.9862e-02	1.1537e-01	6.7098e-02
2455927.854166	2012	1	2012.0009703	1.333	0.698	1.000	1.2491e-01	1.0764e-01	1.1433e-01	1.1509e-01	7.0547e-02	9.8022e-02	6.2269e-02	1.0434e-01	6.8468e-02
2455927.895833	2012	1	2012.0010845	1.333	0.829	1.000	1.2106e-01	1.4161e-01	1.3495e-01	1.1042e-01	7.2736e-02	1.3099e-01	7.0204e-02	1.2379e-01	7.1943e-02
2455927.937500	2012	1	2012.0011986	1.333	0.698	1.000	1.3089e-01	1.3042e-01	1.1957e-01	1.2119e-01	7.2001e-02	1.2091e-01	6.9845e-02	1.0965e-01	7.1577e-02
2455927.979166	2012	1	2012.0013128	1.333	0.828	1.000	1.3585e-01	1.1881e-01	1.2772e-01	1.2513e-01	7.2386e-02	1.0814e-01	7.2398e-02	1.1665e-01	6.8564e-02
2455928.020833	2012	1	2012.0014269	1.333	0.698	1.000	1.2437e-01	1.1727e-01	1.1819e-01	1.1465e-01	6.6335e-02	1.0748e-01	6.3543e-02	1.0827e-01	6.1403e-02
2455928.062500	2012	1	2012.0015411	1.333	0.827	1.000	1.5656e-01	1.2974e-01	1.2777e-01	1.4555e-01	8.1784e-02	1.1895e-01	7.3461e-02	1.1660e-01	7.1942e-02
2455928.104166	2012	1	2012.0016553	1.333	0.699	1.000	1.2423e-01	1.1444e-01	1.2166e-01	1.1469e-01	6.6460e-02	1.0466e-01	6.7737e-02	1.1162e-01	6.8273e-02
2455928.145833	2012	1	2012.0017694	1.333	0.825	1.000	1.6429e-01	1.2141e-01	1.2548e-01	1.5336e-01	8.5420e-02	1.1087e-01	6.6589e-02	1.1412e-01	7.3286e-02
2455928.187500	2012	1	2012.0018836	1.333	0.699	1.000	1.1923e-01	1.2011e-01	1.1856e-01	1.0975e-01	6.8733e-02	1.1055e-01	6.0696e-02	1.0852e-01	6.1308e-02
2455928.229166	2012	1	2012.0019977	1.333	0.824	1.000	1.3888e-01	1.4650e-01	1.2293e-01	1.2809e-01	7.5165e-02	1.3562e-01	6.5279e-02	1.1170e-01	6.6891e-02
2455928.270833	2012	1	2012.0021119	1.333	0.699	1.000	1.3683e-01	1.0763e-01	1.2963e-01	1.2699e-01	7.0555e-02	9.7922e-02	6.2053e-02	1.1968e-01	6.7862e-02
2455928.312500	2012	1	2012.0022260	1.333	0.822	1.000	1.1913e-01	1.2463e-01	1.3056e-01	1.0844e-01	6.9493e-02	1.1397e-01	6.9681e-02	1.1945e-01	7.2832e-02
2455928.354166	2012	1	2012.0023402	1.333	0.700	1.000	1.3347e-01	1.1594e-01	1.2182e-01	1.2372e-01	6.8424e-02	1.0645e-01	6.1278e-02	1.1168e-01	6.3153e-02
2455928.395833	2012	1	2012.0024543	1.333	0.819	1.000	1.3234e-01	1.1491e-01	1.1890e-01	1.2160e-01	7.2868e-02	1.0431e-01	6.4031e-02	1.0786e-01	7.1107e-02
2455928.437500	2012	1	2012.0025685	1.333	0.700	1.000	1.2619e-01	1.1821e-01	1.2337e-01	1.1636e-01	6.9450e-02	1.0839e-01	6.1203e-02	1.1331e-01	6.6519e-02
2455928.479166	2012	1	2012.0026826	1.333	0.817	1.000	1.3851e-01	1.1447e-01	1.0976e-01	1.2776e-01	7.8131e-02	1.0397e-01	6.7985e-02	9.8703e-02	6.7467e-02
2455928.520833	2012	2	2012.0027968	1.333	0.701	1.000	1.3147e-01	1.2601e-01	1.2313e-01	1.2175e-01	6.7170e-02	1.1619e-01	6.3338e-02	1.1306e-01	6.8909e-02
2455928.562500	2012	2	2012.0029110	1.333	0.814	1.000	1.3395e-01	1.1747e-01	1.4088e-01	1.2352e-01	7.4840e-02	1.0667e-01	6.5599e-02	1.2982e-01	7.0723e-02
2455928.604166	2012	2	2012.0030251	1.333	0.702	1.000	1.0740e-01	1.1104e-01	1.1240e-01	9.7683e-02	6.2643e-02	1.0138e-01	6.1419e-02	1.0221e-01	6.9650e-02
